time,lat,long,NO2
1530295361.0,41.148384191,-8.598367008,110.2
1530295633.0,41.148384191,-8.598367008,110.2
1530295965.0,41.148384191,-8.598367008,97.3
1530296237.0,41.148384191,-8.598367008,97.3
1530296569.0,41.148384191,-8.598367008,97.3
1530296841.0,41.148384191,-8.598367008,83.5
1530297113.0,41.148384191,-8.598367008,83.5
1530297445.0,41.148384191,-8.598367008,83.5
1530297717.0,41.148384191,-8.598367008,85.7
1530298049.0,41.148384191,-8.598367008,85.7
1530298321.0,41.148384191,-8.598367008,85.7
1530298653.0,41.148384191,-8.598367008,87.6
1530298925.0,41.148384191,-8.598367008,87.6
1530299257.0,41.148384191,-8.598367008,87.6
1530299529.0,41.148384191,-8.598367008,64.5
1530299861.0,41.148384191,-8.598367008,64.5
1530300133.0,41.148384191,-8.598367008,64.5
1530300465.0,41.148384191,-8.598367008,69.7
1530300737.0,41.148384191,-8.598367008,69.7
1530301069.0,41.148384191,-8.598367008,69.7
1530301341.0,41.148384191,-8.598367008,51.0
1530301613.0,41.148384191,-8.598367008,51.0
1530301945.0,41.148384191,-8.598367008,51.0
1530302218.0,41.148384191,-8.598367008,52.9
1530302549.0,41.148384191,-8.598367008,52.9
1530302821.0,41.148384191,-8.598367008,52.9
1530303153.0,41.148384191,-8.598367008,67.2
1530303425.0,41.148384191,-8.598367008,67.2
1530303757.0,41.148384191,-8.598367008,67.2
1530304029.0,41.148384191,-8.598367008,54.8
1530304361.0,41.148384191,-8.598367008,54.8
1530304633.0,41.148384191,-8.598367008,54.8
1530304965.0,41.148384191,-8.598367008,60.0
1530305237.0,41.148384191,-8.598367008,60.0
1530305569.0,41.148384191,-8.598367008,60.0
1530305841.0,41.148384191,-8.598367008,45.2
1530306113.0,41.148384191,-8.598367008,45.2
1530306445.0,41.148384191,-8.598367008,45.2
1530306717.0,41.148384191,-8.598367008,55.3
1530307049.0,41.148384191,-8.598367008,55.3
1530307321.0,41.148384191,-8.598367008,55.3
1530307653.0,41.148384191,-8.598367008,63.0
1530307925.0,41.148384191,-8.598367008,63.0
1530308257.0,41.148384191,-8.598367008,63.0
1530308529.0,41.148384191,-8.598367008,64.0
1530308861.0,41.148384191,-8.598367008,64.0
1530309133.0,41.148384191,-8.598367008,64.0
1530309465.0,41.148384191,-8.598367008,67.3
1530309737.0,41.148384191,-8.598367008,67.3
1530310069.0,41.148384191,-8.598367008,67.3
1530310341.0,41.148384191,-8.598367008,75.4
1530310613.0,41.148384191,-8.598367008,75.4
1530310945.0,41.148384191,-8.598367008,75.4
1530311217.0,41.148384191,-8.598367008,70.7
1530311549.0,41.148384191,-8.598367008,70.7
1530311821.0,41.148384191,-8.598367008,70.7
1530312153.0,41.148384191,-8.598367008,49.5
1530312425.0,41.148384191,-8.598367008,49.5
1530312757.0,41.148384191,-8.598367008,49.5
1530313029.0,41.148384191,-8.598367008,49.4
1530313361.0,41.148384191,-8.598367008,49.4
1530313633.0,41.148384191,-8.598367008,49.4
1530313965.0,41.148384191,-8.598367008,50.9
1530314237.0,41.148384191,-8.598367008,50.9
1530314569.0,41.148384191,-8.598367008,50.9
1530314841.0,41.148384191,-8.598367008,54.9
1530315113.0,41.148384191,-8.598367008,54.9
1530315445.0,41.148384191,-8.598367008,54.9
1530315717.0,41.148384191,-8.598367008,53.4
1530316138.0,41.148384191,-8.598367008,53.4
1530316350.0,41.148384191,-8.598367008,53.4
1530316622.0,41.148384191,-8.598367008,65.9
1530316954.0,41.148384191,-8.598367008,65.9
1530317226.0,41.148384191,-8.598367008,65.9
1530317558.0,41.148384191,-8.598367008,50.8
1530317830.0,41.148384191,-8.598367008,50.8
1530318162.0,41.148384191,-8.598367008,50.8
1530318434.0,41.148384191,-8.598367008,45.5
1530318766.0,41.148384191,-8.598367008,45.5
