time,lat,long,LAeq
1530295031.0,41.146224218,-8.614042367,63.5
1530295333.0,41.146224218,-8.614042367,65.7
1530295635.0,41.146224218,-8.614042367,65.1
1530295937.0,41.146224218,-8.614042367,63.8
1530296239.0,41.146224218,-8.614042367,64.9
1530296481.0,41.146224218,-8.614042367,65.2
1530296783.0,41.146224218,-8.614042367,64.2
1530297086.0,41.146224218,-8.614042367,66.3
1530297387.0,41.146224218,-8.614042367,64.4
1530297689.0,41.146224218,-8.614042367,64.9
1530297991.0,41.146224218,-8.614042367,65.3
1530298293.0,41.146224218,-8.614042367,63.3
1530298595.0,41.146224218,-8.614042367,64.9
1530298897.0,41.146224218,-8.614042367,63.1
1530299199.0,41.146224218,-8.614042367,65.0
1530299501.0,41.146224218,-8.614042367,64.2
1530299803.0,41.146224218,-8.614042367,66.0
1530300106.0,41.146224218,-8.614042367,65.4
1530300407.0,41.146224218,-8.614042367,65.9
1530300709.0,41.146224218,-8.614042367,64.6
1530301011.0,41.146224218,-8.614042367,65.4
1530301314.0,41.146224218,-8.614042367,64.0
1530301615.0,41.146224218,-8.614042367,63.3
1530301917.0,41.146224218,-8.614042367,65.6
1530302220.0,41.146224218,-8.614042367,65.3
1530302522.0,41.146224218,-8.614042367,64.0
1530302824.0,41.146224218,-8.614042367,63.8
1530303126.0,41.146224218,-8.614042367,66.3
1530303428.0,41.146224218,-8.614042367,64.7
1530303730.0,41.146224218,-8.614042367,65.0
1530304032.0,41.146224218,-8.614042367,64.6
1530304334.0,41.146224218,-8.614042367,63.6
1530304636.0,41.146224218,-8.614042367,65.6
1530304938.0,41.146224218,-8.614042367,66.9
1530305180.0,41.146224218,-8.614042367,63.6
1530305482.0,41.146224218,-8.614042367,62.7
1530305784.0,41.146224218,-8.614042367,64.1
1530306086.0,41.146224218,-8.614042367,64.3
1530306388.0,41.146224218,-8.614042367,64.7
1530306690.0,41.146224218,-8.614042367,65.7
1530306992.0,41.146224218,-8.614042367,65.3
1530307294.0,41.146224218,-8.614042367,66.2
1530307596.0,41.146224218,-8.614042367,65.7
1530307898.0,41.146224218,-8.614042367,72.2
1530308200.0,41.146224218,-8.614042367,67.7
1530308502.0,41.146224218,-8.614042367,71.3
1530308805.0,41.146224218,-8.614042367,67.8
1530309106.0,41.146224218,-8.614042367,66.3
1530309408.0,41.146224218,-8.614042367,66.0
1530309711.0,41.146224218,-8.614042367,66.6
1530310013.0,41.146224218,-8.614042367,65.1
