type,lat,long,value,category
Health,41.163858207996455,-8.61794858632506,1,Health
Health,41.151469951284604,-8.600368951515563,1,Health
Health,41.1655090616732,-8.606874447783344,1,Health
Health,41.151379788882906,-8.567644096927188,1,Health
Health,41.16965368484416,-8.612112538662812,1,Health
Health,41.15450354489229,-8.648404575741894,1,Health
Health,41.17024259186316,-8.650244778834654,1,Health
Health,41.17532524671271,-8.66847463901106,1,Health
Health,41.151277461732256,-8.607643167380724,1,Health
Health,41.15400940991832,-8.620411966695844,1,Health
Health,41.160342099577655,-8.681756049638954,1,Health
Health,41.17532524671271,-8.66847463901106,1,Health
Health,41.16871549747687,-8.627856829346662,1,Health
Health,41.16965368484416,-8.612112538662812,1,Health
Health,41.160342099577655,-8.681756049638954,1,Health
Health,41.17532524671271,-8.66847463901106,1,Health
Health,41.16546473458323,-8.57225799552898,1,Health
Health,41.14989938323154,-8.619803531280649,1,Health
Health,41.15070664982223,-8.62052806050412,1,Health
Health,41.15625351340541,-8.620628571396018,1,Health
Health,41.1514699575777,-8.600368953942928,1,Health
Health,41.15400940991832,-8.620411966695844,1,Health
Health,41.16427719878403,-8.620945359439784,1,Health
Health,41.15687113617864,-8.589248699444926,1,Health
Health,41.1655090616732,-8.606874447783344,1,Health
Health,41.14211998247789,-8.608103332237079,1,Health
Health,41.14286342163633,-8.608759557169606,1,Health
Health,41.15022626773919,-8.602603131592694,1,Health
Health,41.17532524671271,-8.66847463901106,1,Health
Health,41.14555454508183,-8.590214872309772,1,Health
