type,lat,long,value,category
Health,41.155752148839866,-8.619009391609053,1,Health
Health,41.162782212046764,-8.61096690787664,1,Health
Health,41.14836800267053,-8.61628939621062,1,Health
Health,41.155250508038904,-8.607820542975517,1,Health
Health,41.15167772357807,-8.610034528376925,1,Health
Health,41.14918811193877,-8.608851055697672,1,Health
Health,41.166961301193545,-8.611932040230483,1,Health
Health,41.169318917907326,-8.608915967588674,1,Health
Health,41.172084474131495,-8.587600973119235,1,Health
Health,41.16125814279728,-8.60375811301609,1,Health
Health,41.15666089992977,-8.591174740290311,1,Health
Health,41.147023172836356,-8.601860427128168,1,Health
Health,41.155565821532235,-8.668053896300512,1,Health
Health,41.15273758729235,-8.630444913207844,1,Health
Health,41.15963493596328,-8.665503047299087,1,Health
Health,41.16622645717934,-8.624777303608045,1,Health
Health,41.14482059832253,-8.615441646019368,1,Health
Health,41.14835294385374,-8.607915626735437,1,Health
Health,41.16631372532267,-8.6205558219038,1,Health
Health,41.16233928637864,-8.603740251935527,1,Health
Health,41.15230509425888,-8.677388910197127,1,Health
Health,41.1624271242855,-8.661775000215844,1,Health
Health,41.160546546730096,-8.643706748778225,1,Health
Health,41.1619106578835,-8.637793633047647,1,Health
Health,41.166395850407184,-8.648765441467328,1,Health
Health,41.15936694618252,-8.635613754840696,1,Health
Health,41.15901104008435,-8.624534489573552,1,Health
Health,41.14575409999251,-8.606571404947072,1,Health
Health,41.14519244930189,-8.612092105472355,1,Health
Health,41.157069612224284,-8.642943920874941,1,Health
Health,41.148301853437474,-8.664869031111989,1,Health
Health,41.143921664297125,-8.609753964898404,1,Health
Health,41.16872532714599,-8.590719193935723,1,Health
Health,41.1749450480391,-8.613794901250408,1,Health
Health,41.161113272633834,-8.599514690215967,1,Health
Health,41.1544148115253,-8.599349112267912,1,Health
Health,41.15162934138426,-8.567175440805745,1,Health
Health,41.15195031404308,-8.664248399478886,1,Health
Health,41.17337026145182,-8.655357882560027,1,Health
Health,41.14526579721651,-8.615301894417533,1,Health
Health,41.15086087659576,-8.60241776041649,1,Health
Health,41.15920092528839,-8.580347760375052,1,Health
Health,41.14465027799027,-8.606045022492175,1,Health
Health,41.16589932013619,-8.597524633054237,1,Health
Health,41.18377208177908,-8.613509278124235,1,Health
Health,41.1494165154838,-8.600647924107438,1,Health
Health,41.174240946422486,-8.582141114599386,1,Health
Health,41.17133369521343,-8.659092007998956,1,Health
Health,41.150587752540694,-8.65074807313295,1,Health
Health,41.17663158384331,-8.628172019276263,1,Health
Health,41.1523190378222,-8.620717525608374,1,Health
Health,41.15005453713443,-8.61655428632292,1,Health
Health,41.151637429938745,-8.613660741560567,1,Health
Health,41.15007830781731,-8.61324466293684,1,Health
Health,41.143016293476094,-8.615053881813754,1,Health
Health,41.15141851271302,-8.608652857872196,1,Health
Health,41.14631252722895,-8.60540097048537,1,Health
Health,41.145865009757365,-8.612006514782848,1,Health
Health,41.14670101153252,-8.610751365636334,1,Health
Health,41.14711179562908,-8.608529766625015,1,Health
Health,41.162661726711555,-8.667641878619227,1,Health
Health,41.18282932817975,-8.601696740839161,1,Health
Health,41.16306533039133,-8.590008846810218,1,Health
Health,41.163887855290085,-8.60129675028538,1,Health
Health,41.14877546073141,-8.597984119800662,1,Health
Health,41.16527855359841,-8.572227848596851,1,Health
Health,41.15882569048151,-8.593492230535023,1,Health
Health,41.17230684855938,-8.66669703906023,1,Health
Health,41.152866786371966,-8.636444513570703,1,Health
Health,41.15847207579462,-8.633837293693515,1,Health
Health,41.1539663136181,-8.648193422731657,1,Health
Health,41.15512645544503,-8.613523409599958,1,Health
Health,41.14846840078443,-8.60739501677044,1,Health
Health,41.147507467529714,-8.606838283545404,1,Health
Health,41.144802012067586,-8.606499753545274,1,Health
Health,41.14392402879924,-8.613300371022367,1,Health
Health,41.16411788209366,-8.601419449003059,1,Health
Health,41.17685705593799,-8.585574267029143,1,Health
Health,41.147117090347805,-8.589955226607483,1,Health
Health,41.145713354756765,-8.598865157400509,1,Health
Health,41.16825260127237,-8.581846233775643,1,Health
Health,41.163829339107096,-8.582866771039129,1,Health
Health,41.16334224570106,-8.57281794853332,1,Health
Health,41.14788775516866,-8.586517120183771,1,Health
Health,41.15017396852207,-8.671774525095433,1,Health
Health,41.160580723563506,-8.62097452433394,1,Health
Health,41.16203821993479,-8.65161613770334,1,Health
Health,41.169092433278,-8.621657610660886,1,Health
Health,41.16738900367436,-8.618079915216752,1,Health
Health,41.156350875316406,-8.620419634816754,1,Health
Health,41.16003201368526,-8.61193768978276,1,Health
Health,41.16162117414617,-8.616004480988758,1,Health
Health,41.16562649146529,-8.641662050307707,1,Health
Health,41.146185780548876,-8.612767949152806,1,Health
Health,41.15667000510352,-8.61021716130949,1,Health
Health,41.154635765662846,-8.604515798190988,1,Health
Health,41.150118848940394,-8.606703098997727,1,Health
Health,41.14488606239417,-8.609814470068763,1,Health
Health,41.16538436550951,-8.598888886370583,1,Health
Health,41.14705818662499,-8.590458946154582,1,Health
Health,41.14552911028477,-8.601506640517162,1,Health
Health,41.155835048568406,-8.594724018332984,1,Health
Health,41.16143686043321,-8.576596745042028,1,Health
Health,41.150558484866416,-8.67608267376514,1,Health
Health,41.164566591838586,-8.66254257536591,1,Health
Health,41.14786168411257,-8.622229429753096,1,Health
Health,41.16688274944875,-8.624912668405797,1,Health
Health,41.16883050621786,-8.627867078128261,1,Health
Health,41.1519531306623,-8.617586444182054,1,Health
Health,41.16099893631403,-8.608326155413938,1,Health
Health,41.15634695338597,-8.679728968861543,1,Health
Health,41.167165788602865,-8.634123136680232,1,Health
Health,41.16942006983857,-8.636752907496527,1,Health
Health,41.179774250096195,-8.645106897945563,1,Health
Health,41.15831660175039,-8.627765439343879,1,Health
