type,lat,long,value,category
Health,41.15162432159917,-8.609786954370827,1,Health
Health,41.15767963551813,-8.626539731836878,1,Health
Health,41.15709379255616,-8.61305836461312,1,Health
Health,41.1567514862125,-8.623051255124306,1,Health
Health,41.14474124532269,-8.607857277769163,1,Health
Health,41.18244548944238,-8.600459230052861,1,Health
Health,41.16988730918122,-8.58955494844935,1,Health
Health,41.18267461900603,-8.604273638239576,1,Health
Health,41.17007617831933,-8.628578184432273,1,Health
Health,41.14861574947424,-8.616333863784165,1,Health
Health,41.154743031248934,-8.59360894088426,1,Health
Health,41.15714576733671,-8.625696022842064,1,Health
Health,41.15943930914296,-8.604631653577107,1,Health
Health,41.14719672768193,-8.618176183112103,1,Health
Health,41.16576827738608,-8.632689973741156,1,Health
Health,41.14175152467722,-8.616083784911682,1,Health
Health,41.16026495261952,-8.60963601573806,1,Health
Health,41.177681241707276,-8.66369394071011,1,Health
Health,41.150808502116405,-8.623173317481848,1,Health
Health,41.17633541811614,-8.668903094684365,1,Health
