type,lat,long,value,category
School,41.17828415102688,-8.638903426740166,1,School
School,41.17726047833157,-8.615271077323749,1,School
School,41.17057473596645,-8.60165069639281,1,School
School,41.17062526009484,-8.633486762423106,1,School
School,41.160918348275054,-8.61248854177887,1,School
School,41.1760299091978,-8.589750877658648,1,School
School,41.152980155692894,-8.60415852228956,1,School
School,41.16330733523576,-8.569214713496615,1,School
School,41.15185172343462,-8.589354121412665,1,School
School,41.15291191283574,-8.6273465040264,1,School
School,41.168624224884226,-8.666576686403245,1,School
School,41.156863719096,-8.67178587425785,1,School
School,41.14879161923822,-8.592780371908562,1,School
School,41.17201058123397,-8.580269590226886,1,School
School,41.157572533032884,-8.654606381697736,1,School
School,41.14372065056945,-8.619165535455853,1,School
