type,lat,long,value,category
School,41.162454196257514,-8.669134483903864,1,School
School,41.16289450525121,-8.644402738308177,1,School
School,41.164417573014894,-8.644000423811988,1,School
School,41.15956992945916,-8.621992786835795,1,School
School,41.148131061395866,-8.594335205015634,1,School
School,41.16772358575034,-8.599911597634312,1,School
School,41.16031469565315,-8.599564958698465,1,School
School,41.16614606763745,-8.608406173420823,1,School
School,41.15310443495356,-8.625521375160535,1,School
School,41.1546875605682,-8.62273861410805,1,School
School,41.1506035194859,-8.601723443221706,1,School
School,41.1586928442109,-8.595999418463396,1,School
School,41.164845191150064,-8.569289125246028,1,School
